RECURSO;GRUPO_RECURSO
RECURSO_170;GRUPO_RECURSO_0
RECURSO_177;GRUPO_RECURSO_0
RECURSO_187;GRUPO_RECURSO_0
RECURSO_199;GRUPO_RECURSO_0
RECURSO_187;GRUPO_RECURSO_1
RECURSO_3;GRUPO_RECURSO_1
RECURSO_153;GRUPO_RECURSO_10
RECURSO_205;GRUPO_RECURSO_10
RECURSO_221;GRUPO_RECURSO_100
RECURSO_68;GRUPO_RECURSO_101
RECURSO_69;GRUPO_RECURSO_102
RECURSO_133;GRUPO_RECURSO_103
RECURSO_76;GRUPO_RECURSO_104
RECURSO_64;GRUPO_RECURSO_105
RECURSO_77;GRUPO_RECURSO_106
RECURSO_81;GRUPO_RECURSO_107
RECURSO_37;GRUPO_RECURSO_108
RECURSO_50;GRUPO_RECURSO_109
RECURSO_188;GRUPO_RECURSO_11
RECURSO_51;GRUPO_RECURSO_110
RECURSO_91;GRUPO_RECURSO_111
RECURSO_93;GRUPO_RECURSO_112
RECURSO_187;GRUPO_RECURSO_113
RECURSO_92;GRUPO_RECURSO_113
RECURSO_94;GRUPO_RECURSO_114
RECURSO_49;GRUPO_RECURSO_115
RECURSO_66;GRUPO_RECURSO_116
RECURSO_44;GRUPO_RECURSO_117
RECURSO_111;GRUPO_RECURSO_118
RECURSO_112;GRUPO_RECURSO_119
RECURSO_124;GRUPO_RECURSO_12
RECURSO_163;GRUPO_RECURSO_12
RECURSO_168;GRUPO_RECURSO_12
RECURSO_187;GRUPO_RECURSO_12
RECURSO_194;GRUPO_RECURSO_12
RECURSO_195;GRUPO_RECURSO_12
RECURSO_34;GRUPO_RECURSO_120
RECURSO_173;GRUPO_RECURSO_121
RECURSO_62;GRUPO_RECURSO_122
RECURSO_33;GRUPO_RECURSO_123
RECURSO_31;GRUPO_RECURSO_124
RECURSO_22;GRUPO_RECURSO_125
RECURSO_85;GRUPO_RECURSO_126
RECURSO_152;GRUPO_RECURSO_127
RECURSO_139;GRUPO_RECURSO_128
RECURSO_72;GRUPO_RECURSO_129
RECURSO_132;GRUPO_RECURSO_13
RECURSO_141;GRUPO_RECURSO_13
RECURSO_187;GRUPO_RECURSO_13
RECURSO_41;GRUPO_RECURSO_130
RECURSO_145;GRUPO_RECURSO_131
RECURSO_131;GRUPO_RECURSO_132
RECURSO_12;GRUPO_RECURSO_133
RECURSO_38;GRUPO_RECURSO_134
RECURSO_42;GRUPO_RECURSO_135
RECURSO_154;GRUPO_RECURSO_136
RECURSO_96;GRUPO_RECURSO_137
RECURSO_155;GRUPO_RECURSO_138
RECURSO_156;GRUPO_RECURSO_139
RECURSO_56;GRUPO_RECURSO_14
RECURSO_57;GRUPO_RECURSO_14
RECURSO_43;GRUPO_RECURSO_140
RECURSO_40;GRUPO_RECURSO_141
RECURSO_161;GRUPO_RECURSO_142
RECURSO_134;GRUPO_RECURSO_143
RECURSO_48;GRUPO_RECURSO_144
RECURSO_110;GRUPO_RECURSO_145
RECURSO_169;GRUPO_RECURSO_146
RECURSO_222;GRUPO_RECURSO_147
RECURSO_88;GRUPO_RECURSO_148
RECURSO_223;GRUPO_RECURSO_149
RECURSO_187;GRUPO_RECURSO_15
RECURSO_191;GRUPO_RECURSO_15
RECURSO_39;GRUPO_RECURSO_150
RECURSO_174;GRUPO_RECURSO_151
RECURSO_175;GRUPO_RECURSO_152
