oidx;ORDEN;PARTNUMBER;OPERACION;GRUPO_RECURSO;CCP_RECURSO;CANTIDAD;TIEMPO_FIJO_MIN;TIEMPO_VARIABLE_MIN;MULTIPLICIDAD;OEE;tiempo_proceso_sin_oee_min;duracion_base_sin_oee_min;duracion_fija_ccp_min;duracion_formula_min;diferencia_formula_min
0;ORDEN_7;PARTNUMBER_7;900020;GRUPO_RECURSO_104;RECURSO_76;8.0;30.0;104.0;1;74.34;832.0;862.0;1159.5372612321764;1159.5372612321764;0.0
0;ORDEN_7;PARTNUMBER_7;900030;GRUPO_RECURSO_43;RECURSO_8;8.0;1.0;1.0;1;85.0;8.0;9.0;10.588235294117647;10.588235294117647;0.0
0;ORDEN_7;PARTNUMBER_7;900040;GRUPO_RECURSO_43;RECURSO_9;8.0;5.0;9.0;1;85.0;72.0;77.0;90.58823529411765;90.58823529411765;0.0
0;ORDEN_7;PARTNUMBER_7;900050;GRUPO_RECURSO_24;RECURSO_24;8.0;5.0;1.0;1;85.0;8.0;13.0;15.294117647058824;15.294117647058824;0.0
0;ORDEN_7;PARTNUMBER_7;900060;GRUPO_RECURSO_11;RECURSO_11;8.0;5.0;1.0;1;85.0;8.0;13.0;15.294117647058824;15.294117647058824;0.0
0;ORDEN_7;PARTNUMBER_7;1300020;GRUPO_RECURSO_4;RECURSO_4;8.0;5.0;6.0;1;85.0;48.0;53.0;62.35294117647059;62.35294117647059;0.0
1;ORDEN_25;PARTNUMBER_20;1000020;GRUPO_RECURSO_14;RECURSO_55;29.0;30.0;20.33;1;85.74;589.5699999999999;619.5699999999999;722.614882202006;722.614882202006;0.0
1;ORDEN_25;PARTNUMBER_20;1000030;GRUPO_RECURSO_14;RECURSO_55;29.0;30.0;24.17;1;90.48;700.9300000000001;730.9300000000001;807.8359858532274;807.8359858532272;2.2737367544323206e-13
1;ORDEN_25;PARTNUMBER_20;1000040;GRUPO_RECURSO_43;RECURSO_126;29.0;0.0;2.0;1;85.0;58.0;58.0;68.23529411764706;68.23529411764706;0.0
2;ORDEN_57;PARTNUMBER_56;1000010;GRUPO_RECURSO_65;RECURSO_104;30.0;0.0;9.33;1;100.0;279.9;279.9;279.9;279.9;0.0
2;ORDEN_57;PARTNUMBER_56;1000020;GRUPO_RECURSO_50;RECURSO_106;30.0;10.0;38.0;1;90.0;1140.0;1150.0;1277.7777777777778;1277.7777777777778;0.0
2;ORDEN_57;PARTNUMBER_56;1000030;GRUPO_RECURSO_43;RECURSO_126;30.0;0.0;3.78;1;85.0;113.39999999999999;113.39999999999999;133.41176470588235;133.41176470588235;0.0
3;ORDEN_63;PARTNUMBER_61;900020;GRUPO_RECURSO_8;RECURSO_13;20.0;0.0;24.0;1;78.73;480.0;480.0;609.6786485456623;609.6786485456623;0.0
3;ORDEN_63;PARTNUMBER_61;900030;GRUPO_RECURSO_8;RECURSO_13;20.0;0.0;2.0;1;27.09;40.0;40.0;147.65596160944997;147.65596160944997;0.0
3;ORDEN_63;PARTNUMBER_61;900040;GRUPO_RECURSO_1;RECURSO_3;20.0;0.0;3.99;1;85.0;79.80000000000001;79.80000000000001;93.88235294117649;93.88235294117648;1.4210854715202004e-14
