oidx;ORDEN;PARTNUMBER;CANTIDAD;N_OPERACIONES;FECHA_PROVEEDOR;deadline_work_min;work_min;slack_min;cr;dias_hasta_deadline;hist_late_rate_pn;heuristic_late_risk;risk_late;rank_edd;rank_cr;rank_slack;rank_risk_late;rank_spt
0;ORDEN_7;PARTNUMBER_7;8.0;6;2026-06-15;27360.0;1353.6549082909999;26006.345091709;20.21194606721607;19.0;1.0;1.4343601487010412e-08;0.6000000057374406;676.5;871.0;680.0;642.0;1065.0
1;ORDEN_25;PARTNUMBER_20;29.0;3;2026-08-12;87840.0;1598.6861621728804;86241.31383782713;54.94511810911707;61.0;0.25;2.0611536181902037e-09;0.15000000082446144;1991.0;1581.0;1999.0;1672.0;1212.0
2;ORDEN_57;PARTNUMBER_56;30.0;3;2026-06-20;34560.0;1691.0895424836601;32868.91045751634;20.43652871819112;24.0;0.6666666666666666;3.620952508545826e-09;0.400000001448381;792.5;883.5;813.5;1318.5;1271.5
3;ORDEN_63;PARTNUMBER_61;20.0;4;2026-06-06;20160.0;1092.393433684524;19067.606566315477;18.454889400060303;14.0;1.0;1.7755590544182504e-06;0.6000007102236218;545.0;808.0;571.0;521.0;875.0
4;ORDEN_71;PARTNUMBER_69;48.0;6;2026-06-16;28800.0;1256.4049535603715;27543.59504643963;22.922545727304897;20.0;1.0;4.932121756231672e-09;0.6000000019728486;719.0;982.0;732.0;668.0;993.0
5;ORDEN_72;PARTNUMBER_70;16.0;5;2026-06-30;43200.0;7465.286171423662;35734.713828576336;5.786784191256472;30.0;1.0;0.00827026403463316;0.6033081056138533;1044.5;348.0;892.0;277.0;2181.0
6;ORDEN_73;PARTNUMBER_71;64.0;1;2026-06-27;41760.0;426.66666666666663;41333.333333333336;97.87500000000001;29.0;0.0;2.0611536181902037e-09;8.244614472760815e-10;941.5;1876.0;1015.0;2091.0;350.0
7;ORDEN_76;PARTNUMBER_74;12.0;2;2026-05-20;1440.0;2307.4764561981356;-867.4764561981356;0.6240583717038592;1.0;1.0;0.5928939013224005;0.8371575605289602;60.5;68.0;74.0;56.0;1581.0
8;ORDEN_77;PARTNUMBER_75;34.0;6;2026-08-01;77760.0;888.0321427910163;76871.96785720899;87.5643980133493;54.0;1.0;2.0611536181902037e-09;0.6000000008244615;1770.5;1827.0;1794.0;933.0;751.0
9;ORDEN_78;PARTNUMBER_76;10.0;3;2026-05-25;5760.0;325.04412260320544;5434.955877396795;17.720671131874198;4.0;1.0;0.022438676733763097;0.6089754706935052;140.0;789.0;217.0;252.0;237.0
10;ORDEN_80;PARTNUMBER_78;30.0;6;2026-05-23;5760.0;4393.993233842797;1366.006766157203;1.3108804892179027;4.0;1.0;0.4228998359996735;0.7691599343998694;140.0;97.5;99.5;81.5;2003.5
11;ORDEN_82;PARTNUMBER_80;24.0;2;2026-06-01;12960.0;399.76993464052293;12560.230065359478;32.41864601862509;9.0;1.0;0.00016287217369495666;0.6000651488694779;340.0;1213.0;415.0;411.0;321.0
12;ORDEN_98;PARTNUMBER_93;1.0;11;2026-06-24;37440.0;876.3819750887989;36563.6180249112;42.721097722493;26.0;1.0;2.0611536181902037e-09;0.6000000008244615;877.5;1425.0;931.0;933.0;746.0
13;ORDEN_108;PARTNUMBER_102;6.0;7;2026-06-27;41760.0;1998.8246290965403;39761.17537090346;20.892278087885746;29.0;0.0;2.2955850775305668e-09;9.182340310122267e-10;941.5;900.0;965.0;1852.0;1447.5
14;ORDEN_116;PARTNUMBER_110;8.0;5;2026-08-08;84960.0;4058.1124725214;80901.8875274786;20.9358416197894;59.0;0.0;2.197728253833154e-09;8.790913015332617e-10;1963.5;901.0;1956.0;1853.0;1967.0
15;ORDEN_124;PARTNUMBER_118;60.0;3;2026-05-23;5760.0;1438.2740229173214;4321.725977082679;4.004800134203015;4.0;1.0;0.04737175401381949;0.6189487016055277;140.0;263.0;177.0;206.0;1117.0
16;ORDEN_127;PARTNUMBER_121;14.0;4;2026-07-01;44640.0;3019.6990171407797;41620.30098285922;14.782930267754848;31.0;0.5;1.0331157716521218e-06;0.30000041324630866;1144.5;692.0;1032.0;1465.0;1790.5
17;ORDEN_129;PARTNUMBER_123;60.0;3;2026-07-23;67680.0;1436.0525439539053;66243.9474560461;47.12919473938999;47.0;0.3333333333333333;2.0611536181902037e-09;0.20000000082446143;1513.5;1489.0;1550.0;1644.5;1113.0
