PARTNUMBER;OPERACION;POSTURA;RECURSO;TECNOLOGIA;CENTRO_MECANIZADO;PIEZAS_SIMULTANEAS;TIEMPO_FIJO_MIN;TIEMPO_VARIABLE_MIN;OEE
PARTNUMBER_6373;800020;POSTURA_0;RECURSO_0;TECNOLOGIA_0;CENTRO_MECANIZADO_0;1;10.000;10.890;68.100
PARTNUMBER_6374;800020;POSTURA_0;RECURSO_0;TECNOLOGIA_0;CENTRO_MECANIZADO_0;1;10.000;10.890;68.100
PARTNUMBER_6375;1300020;POSTURA_0;RECURSO_0;TECNOLOGIA_1;CENTRO_MECANIZADO_0;1;360.000;25.000;45.000
PARTNUMBER_6375;1300030;POSTURA_1;RECURSO_0;TECNOLOGIA_1;CENTRO_MECANIZADO_0;1;120.000;10.000;40.000
PARTNUMBER_6376;800020;POSTURA_0;RECURSO_1;TECNOLOGIA_1;CENTRO_MECANIZADO_0;1;120.000;50.000;40.000
PARTNUMBER_6376;800030;POSTURA_1;RECURSO_1;TECNOLOGIA_1;CENTRO_MECANIZADO_0;1;60.000;25.000;45.000
PARTNUMBER_6377;900010;POSTURA_2;RECURSO_2;TECNOLOGIA_0;CENTRO_MECANIZADO_0;1;0.000;6.500;65.000
PARTNUMBER_6377;900020;POSTURA_0;RECURSO_2;TECNOLOGIA_0;CENTRO_MECANIZADO_0;1;0.000;183.100;85.000
PARTNUMBER_6377;900030;POSTURA_1;RECURSO_2;TECNOLOGIA_0;CENTRO_MECANIZADO_0;1;0.000;89.000;85.000
PARTNUMBER_6377;900040;POSTURA_3;RECURSO_3;TECNOLOGIA_0;CENTRO_MECANIZADO_0;1;0.000;3.990;85.000
PARTNUMBER_739;900010;POSTURA_2;RECURSO_2;TECNOLOGIA_0;CENTRO_MECANIZADO_1;1;0.000;10.000;60.000
PARTNUMBER_739;900020;POSTURA_0;RECURSO_2;TECNOLOGIA_0;CENTRO_MECANIZADO_1;1;0.000;23.020;65.000
PARTNUMBER_739;900030;POSTURA_1;RECURSO_2;TECNOLOGIA_0;CENTRO_MECANIZADO_1;1;0.000;7.930;60.000
PARTNUMBER_739;900040;POSTURA_3;RECURSO_3;TECNOLOGIA_0;CENTRO_MECANIZADO_1;1;0.000;3.990;85.000
PARTNUMBER_329;900020;POSTURA_0;RECURSO_2;TECNOLOGIA_0;CENTRO_MECANIZADO_1;1;0.000;54.650;71.740
PARTNUMBER_329;900030;POSTURA_1;RECURSO_2;TECNOLOGIA_0;CENTRO_MECANIZADO_1;1;0.000;29.950;66.450
PARTNUMBER_329;900040;POSTURA_3;RECURSO_3;TECNOLOGIA_0;CENTRO_MECANIZADO_1;1;0.000;4.440;85.000
PARTNUMBER_329;900050;POSTURA_4;RECURSO_0;TECNOLOGIA_0;CENTRO_MECANIZADO_1;1;90.000;2.190;70.000
PARTNUMBER_329;1300020;POSTURA_0;RECURSO_4;TECNOLOGIA_0;CENTRO_MECANIZADO_2;1;5.000;10.000;85.000
PARTNUMBER_6378;1000020;POSTURA_0;RECURSO_0;TECNOLOGIA_1;CENTRO_MECANIZADO_1;1;240.000;10.750;83.100
PARTNUMBER_6378;1000030;POSTURA_1;RECURSO_0;TECNOLOGIA_1;CENTRO_MECANIZADO_1;1;150.000;0.370;14.300
PARTNUMBER_6378;1000040;POSTURA_3;RECURSO_5;TECNOLOGIA_1;CENTRO_MECANIZADO_1;1;60.000;0.800;49.900
PARTNUMBER_6378;1000050;POSTURA_4;RECURSO_3;TECNOLOGIA_1;CENTRO_MECANIZADO_1;1;0.000;2.190;85.000
PARTNUMBER_6379;1400010;POSTURA_2;RECURSO_6;TECNOLOGIA_0;CENTRO_MECANIZADO_1;1;0.000;10.130;65.000
PARTNUMBER_6379;1400020;POSTURA_0;RECURSO_6;TECNOLOGIA_0;CENTRO_MECANIZADO_1;1;0.000;70.780;75.000
PARTNUMBER_6379;1400030;POSTURA_1;RECURSO_6;TECNOLOGIA_0;CENTRO_MECANIZADO_1;1;0.000;117.100;85.000
PARTNUMBER_6379;1400040;POSTURA_3;RECURSO_3;TECNOLOGIA_0;CENTRO_MECANIZADO_1;1;0.000;3.990;85.000
PARTNUMBER_6379;1800020;POSTURA_0;RECURSO_4;TECNOLOGIA_0;CENTRO_MECANIZADO_2;1;5.000;10.000;0.000
PARTNUMBER_6380;1400010;POSTURA_2;RECURSO_6;TECNOLOGIA_0;CENTRO_MECANIZADO_1;1;0.000;10.130;65.000
PARTNUMBER_6380;1400020;POSTURA_0;RECURSO_6;TECNOLOGIA_0;CENTRO_MECANIZADO_1;1;0.000;71.000;75.000
PARTNUMBER_6380;1400030;POSTURA_1;RECURSO_6;TECNOLOGIA_0;CENTRO_MECANIZADO_1;1;0.000;133.920;85.000
PARTNUMBER_6380;1400040;POSTURA_3;RECURSO_3;TECNOLOGIA_0;CENTRO_MECANIZADO_1;1;0.000;3.990;85.000
PARTNUMBER_6380;1800020;POSTURA_0;RECURSO_4;TECNOLOGIA_0;CENTRO_MECANIZADO_2;1;5.000;10.000;0.000
PARTNUMBER_656;900020;POSTURA_0;RECURSO_7;TECNOLOGIA_0;CENTRO_MECANIZADO_3;1;20.000;17.000;77.000
PARTNUMBER_656;900030;POSTURA_1;RECURSO_8;TECNOLOGIA_0;CENTRO_MECANIZADO_3;24;1.000;0.210;85.000
PARTNUMBER_656;900040;POSTURA_3;RECURSO_9;TECNOLOGIA_0;CENTRO_MECANIZADO_3;24;5.000;2.830;85.000
PARTNUMBER_656;900050;POSTURA_4;RECURSO_10;TECNOLOGIA_0;CENTRO_MECANIZADO_3;24;5.000;2.500;85.000
PARTNUMBER_656;900060;POSTURA_5;RECURSO_11;TECNOLOGIA_0;CENTRO_MECANIZADO_3;24;5.000;0.500;85.000
PARTNUMBER_656;1300020;POSTURA_0;RECURSO_4;TECNOLOGIA_0;CENTRO_MECANIZADO_2;1;5.000;2.000;85.000
PARTNUMBER_1326;900020;POSTURA_0;RECURSO_7;TECNOLOGIA_0;CENTRO_MECANIZADO_3;1;30.000;17.000;69.900
PARTNUMBER_1326;900030;POSTURA_1;RECURSO_8;TECNOLOGIA_0;CENTRO_MECANIZADO_3;24;1.000;0.210;85.000
PARTNUMBER_1326;900040;POSTURA_3;RECURSO_9;TECNOLOGIA_0;CENTRO_MECANIZADO_3;24;5.000;3.330;85.000
